Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belize,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833
Bermuda,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256
Bolivia (Plurinational State of),977.3294704,930.8757313,888.198576,892.3553805,951.9516229,1018.313662,1200.068092,1351.035154,1687.578567,1725.146286,1922.058662,2304.982295,2562.466784,2853.797162,3022.462884,2975.648811
Brazil,3726.81142,3142.235528,2824.715396,3056.64968,3623.223905,4773.26848,5866.024313,7323.19034,8801.759475,8569.901805,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413
Barbados,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.63946,17219.04868,17550.66334,16310.46053,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947
Brunei Darussalam,17971.88881,16437.42662,16817.23573,18521.36258,21839.25931,25991.2062,30767.74738,32337.28152,37427.54886,27497.5417,34609.69996,46139.10684,46844.19672,43950.05706,41035.77314,30681.43744
Bhutan,722.8267562,765.0092339,841.3663104,951.7391671,1050.133115,1201.433648,1299.631249,1714.031072,1780.112218,1768.745957,2194.12587,2491.273456,2470.072136,2409.439989,2589.899141,2695.636904
Botswana,3351.696517,3115.679,3029.788522,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848491,4938.250136,6041.732051,7080.778297,6392.987347,6436.603063,6844.032996,5869.737772
Central African Republic,243.8775801,242.5757267,253.4106706,283.675348,309.1902426,317.8776781,340.4145172,388.4777713,446.2287699,452.9222361,459.7769816,515.2095038,525.8675036,352.226855,394.8569331,351.8797548
Canada,24271.00206,23821.44559,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554
Central Europe and the Baltics,3952.068244,4352.734622,4937.126616,5949.802829,7176.511344,8355.864587,9469.081319,12008.2924,14576.26388,12306.25967,12606.59116,13962.77109,13074.23824,13665.7266,14141.10062,12525.6327
Switzerland,38864.0439,39638.43879,42458.53416,49337.54689,54659.6403,56243.9473,59008.99301,64991.00515,74175.87764,71565.56998,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476
Channel Islands,44318.2211,42678.27703,45279.64194,49428.30976,57200.46646,58550.65717,63665.31535,75148.34944,,,,,,,,
Chile,5097.114937,4606.890564,4479.175044,4824.220541,6185.514792,7561.830548,9418.062718,10461.36609,10783.17082,10182.86056,12767.78204,14628.57246,15406.49284,15833.27592,14666.34312,13569.94813
China,959.3604121,1053.112272,1148.514188,1288.637543,1508.667946,1753.414263,2099.219342,2693.958555,3468.327063,3832.227428,4550.473924,5614.385739,6300.582352,7020.385682,7636.074223,8016.446016
Côte d'Ivoire,986.7773529,974.779985,1020.950491,1173.063882,1267.764823,1267.087311,1303.564967,1451.232531,1683.337505,1638.804684,1654.177959,1701.704641,1649.301615,1903.054229,2124.01943,1941.581898
Cameroon,700.1632362,706.9842173,780.2705538,976.5193032,1119.980861,1129.35798,1177.968605,1311.002963,1476.009078,1445.860248,1383.813864,1497.926586,1433.723927,1559.13905,1631.713986,1399.675336
Democratic Republic of the Congo,392.6263338,148.4471235,168.9448053,167.9815754,187.856781,211.5726295,247.5419356,277.6120796,317.8892099,290.1556749,324.827726,376.3749811,412.7762607,444.8643574,472.266236,482.0645685
Congo,1029.960689,859.4400122,910.8697114,1023.088496,1314.41128,1810.588944,2116.868944,2219.912305,2848.65316,2283.949871,2962.76248,3415.062376,3753.860925,3719.651037,3622.530074,2347.818507
Colombia,2546.850213,2465.007011,2421.162103,2305.170507,2811.45945,3448.538274,3782.603504,4762.082973,5534.689447,5245.951665,6392.758026,7392.9436,8096.80151,8263.641929,8167.472842,6228.651622
