Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Israel,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100
Italy,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582
Jamaica,2612205,2625405,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2794445
Japan,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000
Jordan,5056174,5163310,5275532,5396117,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980,7211863,7694814,8658026,9494246
Kazakhstan,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806
Kenya,30851606,31800343,32779823,33767122,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368,45831863,46851488
Kiribati,88826,90531,92400,94302,96224,98164,100083,101998,103966,105996,107995,109871,111618,113311,114985,116707
Democratic People's Republic of Korea,23367059,23512522,23638411,23781707,23948930,24100982,24235761,24356506,24469047,24581509,24686435,24783789,24887770,25001819,25126131,25258015
Republic of Korea,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947
Kosovo,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1807106,1818117,1812771,1788196
Kuwait,1934901,1991674,2047364,2101506,2153481,2235403,2363409,2506769,2650930,2795550,2943356,3143825,3394663,3646518,3761584,3908743
Kyrgyzstan,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900
Lao People's Democratic Republic,5430853,5519707,5606101,5689065,5768167,5852970,5946593,6041348,6135861,6229930,6323418,6416327,6508803,6600742,6691454,6787419
Late-demographic dividend,2046026051,2060709239,2074581734,2088091467,2101411095,2114895075,2128519993,2142132712,2156046215,2169857353,2182768187,2196512073,2212381413,2228485037,2244043359,2258406242
Latin America & Caribbean,521281149,528688278,535935546,542976557,549897638,556739532,563424119,569972223,576386180,582738079,588873862,595510008,602139396,608642242,615046755,621390109
Latin America & Caribbean (excluding high income),468125382,474817217,481353718,487688819,493917791,500076606,506094784,511989821,517759389,523473668,528978305,535014773,541048298,546954103,552781789,558562792
Latin America & the Caribbean (IDA & IBRD countries),505304844,512664811,519865563,526861169,533741619,540553499,547224720,553771247,560186837,566539590,572674666,579334666,585986944,592507619,598949385,605335594
Latvia,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527
Least developed countries: UN classification,662018171,678096204,695718323,713914587,731736892,749852827,768211301,786317083,804637337,823699833,843512714,864134636,885375140,907133963,929398042,951928215
Lebanon,4320642,4389200,4446666,4504807,4574797,4643044,4719864,4809608,4887613,4951135,4995800,5045056,5178337,5678851,6274342,6398940
Lesotho,1998630,1999473,1997534,1993030,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677,2054718,2073939,2095242,2118521
Liberia,2895224,2981648,3060599,3085173,3122447,3266318,3455397,3632740,3783887,3905066,4019956,4181150,4331740,4427313,4519398,4612329
Libya,5154790,5275916,5405326,5542641,5687563,5837986,5973369,6097177,6228370,6360191,6491988,6188132,5869870,5985221,6097764,6192235
Liechtenstein,33026,33376,33693,34000,34300,34603,34889,35150,35401,35675,35926,36189,36505,36806,37096,37355
Lithuania,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910
Low & middle income,5017754094,5092597797,5167128185,5241165329,5315125594,5389050292,5462498035,5535561492,5609366954,5684454948,5760864582,5839424336,5919975340,6001075136,6082090949,6162303969
Low income,382593480,392924294,404771898,417212831,429354375,441886612,455313027,469010772,482640782,496609143,510897321,525506329,540002626,553835758,567702296,582173028
Lower middle income,2259879800,2303146181,2345451008,2387347922,2429871397,2471959522,2513577643,2555229019,2596637908,2638537324,2681991417,2726052485,2769675465,2813932332,2858673420,2902878488
Luxembourg,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604
"Macao SAR, China",431896,439122,449665,462533,475529,488619,501863,515330,529038,543021,557297,571003,582766,593374,604167,615239
